organisation.organisationName,occurences,energypointsavg
Ibertrust Global S.L.,77,5
ENIF PEGASUS S.R.L.,925,4
Denver A/S,172,4
Apex CE Specialists GmbH,147,4
JXGO SARL,101,4
Braun Photo Technik GmbH,61,4
Legamaster International BV,52,4
Donghuababa,542,3
EUREP GmbH,314,3
eVatmaster Consulting GmbH,197,3
AOCE INFORMATION TECHNOLOGY S.R.L,181,3
AOCE INFORMATION TECHNOLOGY,156,3
Hannspree Europe Holdings B.V.,145,3
CET PRODUCT SERVICE SP. Z O.O.,117,3
Mega Lages SAS,84,3
EIZO Europe GmbH,79,3
Gorenje gospodinjski aparati d.o.o.,4002,2
Vestel Holland B.V.,2318,2
iiyama corporation,1099,2
Acer Italy S.R.L.,918,2
TCL Netherlands B.V.,912,2
MMD-Monitors & Displays Nederland B.V.,583,2
ASUS Computer GmbH,526,2
VESTEL France,452,2
MSI Computer Europe B.V.,445,2
Changhong Europe Electric s.r.o.,437,2
Express LUCK Europe Electric Kft.,427,2
ViewSonic Europe Limited,414,2
AOC International (Europe) B.V.,398,2
MEDION AG,380,2
"Lenovo (Slovakia) s.r.o. ",333,2
Dell Products Unlimited Company,303,2
HP Printing and Computing Solutions SLU,288,2
ETA  a. s.,278,2
REP Europe GmbH,265,2
Currys Ireland Limited,259,2
BenQ Europe B.V.,244,2
APPROX IBERIA SL,232,2
TESLA ELECTRONICA E INGENIERIA S.A.,223,2
Hikvision Europe B.V.,218,2
Inno Technology B.V.,217,2
DONGNING SARL,215,2
StreamView GmbH,202,2
Cello Electronics GmbH,201,2
ELECTRO DEPOT FRANCE SAS,197,2
Comtrade Distribucija d.o.o.,179,2
Albers Trading BV,164,2
Imtron GmbH,160,2
Ayonz Germany GmbH,157,2
alphatronics GmbH,153,2
Axdia International GmbH,151,2
CDISCOUNT,148,2
AG Neovo Technology B.V.,147,2
RENAISSANCE PUBLIC SERVICE SRL,140,2
JAPANNEXT EUROPE,138,2
????S?? COMPUTERS ?.?.?.?,138,2
HKC Digital B.V.,136,2
Vestel Holland BV Sucursal en España,135,2
UltraMedia GmbH & Co. Handels KG,132,2
MASCOM s.r.o.,131,2
TCL ELECTRONICS POLAND SPÓLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,124,2
Despec International S.A.,123,2
Power International AS,121,2
Elo Touch Solutions (Belgium) NV,107,2
Baytronic Handels GmbH,105,2
"HAIER IBERIA, SLU",102,2
Dutch Bridge International B.V.,101,2
Verkkokauppa.com Oyj,100,2
NETWORK ONE DISTRIBUTION SRL,100,2
TELE SYSTEM DIGITAL S.R.L.,98,2
" NSI ELECTRONIC ApS ",94,2
YASHI ITALIA SRL,93,2
"CECOTEC INNOVACIONES, SL",91,2
KALLIOPI KARYDA & SIA ETERORRYTHMI ETAIRIA,91,2
ORGANISATION INTRA-GROUPE DES ACHATS,79,2
NEVIR  S.A.,78,2
NetOnNet AB,76,2
Antares Diffusion,75,2
GESTION MARKETING ET STRATEGIE,75,2
SOURCING & CREATION,73,2
UAB ERC distribution Baltics,70,2
"PC Componentes y Multimedia SLU ",69,2
CRANE YAXU LIMITED,68,2
Glen Dimplex Ireland UC,68,2
Avtex (N.I.) Ltd,67,2
Pyramid Computer GmbH,66,2
"Argos (N.I.) Ltd ",65,2
Sharp Electronics GmbH,65,2
New Majestic spa,63,2
"TechniSat Digital GmbH ",60,2
"Advantech Europe B.V. ",59,2
UNV Technology EUROPE B.V.,59,2
Conforama France,58,2
"AIWA EUROPE, S.L.U.",54,2
Lechpol Electronics Leszek Spólka komandytowa,53,2
"FAST CR, a.s.",53,2
WESTnet DISTRIBUTION SINGLE MEMBER S.A.,51,2
SAMSUNG ELECTRONICS (UK) LIMITED,4410,1
LG Electronics Deutschland GmbH,3080,1
TCL Operations Polska Sp. z o.o.,1506,1
Sharp Consumer Electronics Poland sp. z o.o.,1490,1
Panasonic Marketing Europe GmbH,1129,1
TP Vision Europe B.V.,969,1
"Vestel Holland B.V. Germany Branch Office ",844,1
BEKO EUROPE MANAGEMENT S.R.L.,674,1
Metz Consumer Electronics GmbH,418,1
"Sony Europe B.V. ",415,1
Dahua Technology Hungary Kft.,412,1
Market Maker Brand Licensing,329,1
PANTEH D.O.O.,204,1
TEDUIN S.A.,184,1
Loewe Technology GmbH,177,1
GRUPPO INDUSTRIALE VESIT S.P.A.,133,1
Xiaomi Technology Netherlands B.V.,132,1
Sharp Display Solutions Europe GmbH,125,1
Planar SAS,112,1
G.B.T. Technology Trading GmbH,105,1
Union distribution s.r.o.,93,1
RECO SPA,91,1
MAGNUM-D EOOD,84,1
M SAN Grupa d.o.o.,81,1
Barni Carlo Spa,76,1
"KIVI SMART PURCHASING Kft. ",74,1
Swedx AB,72,1
UNITECH Hungary Kft,67,1
T. Manufacturing Malta Ltd,65,1
Manta S.A.,65,1
Silent Power Electronics GmbH,61,1
Dustin Aktiebolag,61,1
STRONG Ges.m.b.H.,60,1
GRAETZ ITALIA SRL,54,1
ZORA-M.M.S.,51,1
